time,s1,s2,v1,v2,a1,a2,extra_info
0.0,0.0,0.0,0.0,0.0,0.1,0.2,info0.0
0.02,0.0,0.0,0.0,0.01,0.1,0.2,info0.02
0.04,0.0,0.0,0.01,0.01,0.1,0.2,info0.04
0.06,0.0,0.0,0.01,0.02,0.1,0.2,info0.06
0.08,0.0,0.0,0.01,0.02,0.1,0.2,info0.08
0.1,0.0,0.0,0.01,0.02,0.1,0.2,info0.1
0.12,0.0,0.0,0.01,0.03,0.1,0.2,info0.12
0.14,0.0,0.0,0.02,0.03,0.1,0.2,info0.14
0.16,0.0,0.0,0.02,0.04,0.1,0.2,info0.16
0.18,0.0,0.0,0.02,0.04,0.1,0.2,info0.18
0.2,0.0,0.0,0.02,0.04,0.1,0.2,info0.2
0.22,0.0,0.01,0.02,0.05,0.1,0.2,info0.22
0.24,0.0,0.01,0.03,0.05,0.1,0.2,info0.24
0.26,0.0,0.01,0.03,0.06,0.1,0.2,info0.26
0.28,0.0,0.01,0.03,0.06,0.1,0.2,info0.28
0.3,0.01,0.01,0.03,0.06,0.1,0.2,info0.3
0.32,0.01,0.01,0.03,0.07,0.1,0.2,info0.32
0.34,0.01,0.01,0.04,0.07,0.1,0.2,info0.34
0.36,0.01,0.01,0.04,0.08,0.1,0.2,info0.36
0.38,0.01,0.02,0.04,0.08,0.1,0.2,info0.38
0.4,0.01,0.02,0.04,0.08,0.1,0.2,info0.4
0.42,0.01,0.02,0.04,0.09,0.1,0.2,info0.42
0.44,0.01,0.02,0.05,0.09,0.1,0.2,info0.44
0.46,0.01,0.02,0.05,0.1,0.1,0.2,info0.46
0.48,0.01,0.03,0.05,0.1,0.1,0.2,info0.48
0.5,0.01,0.03,0.05,0.1,0.1,0.2,info0.5
0.52,0.01,0.03,0.05,0.11,0.1,0.2,info0.52
0.54,0.02,0.03,0.06,0.11,0.1,0.2,info0.54
0.56,0.02,0.03,0.06,0.12,0.1,0.2,info0.56
0.58,0.02,0.04,0.06,0.12,0.1,0.2,info0.58
0.6,0.02,0.04,0.06,0.12,0.1,0.2,info0.6
0.62,0.02,0.04,0.06,0.13,0.1,0.2,info0.62
0.64,0.02,0.04,0.07,0.13,0.1,0.2,info0.64
0.66,0.02,0.05,0.07,0.14,0.1,0.2,info0.66
0.68,0.02,0.05,0.07,0.14,0.1,0.2,info0.68
0.7,0.03,0.05,0.07,0.14,0.1,0.2,info0.7
0.72,0.03,0.05,0.07,0.15,0.1,0.2,info0.72
0.74,0.03,0.06,0.08,0.15,0.1,0.2,info0.74
0.76,0.03,0.06,0.08,0.16,0.1,0.2,info0.76
0.78,0.03,0.06,0.08,0.16,0.1,0.2,info0.78
0.8,0.03,0.07,0.08,0.16,0.1,0.2,info0.8
0.82,0.04,0.07,0.08,0.17,0.1,0.2,info0.82
0.84,0.04,0.07,0.09,0.17,0.1,0.2,info0.84
0.86,0.04,0.08,0.09,0.18,0.1,0.2,info0.86
0.88,0.04,0.08,0.09,0.18,0.1,0.2,info0.88
0.9,0.04,0.08,0.09,0.18,0.1,0.2,info0.9
0.92,0.04,0.09,0.09,0.19,0.1,0.2,info0.92
0.94,0.05,0.09,0.1,0.19,0.1,0.2,info0.94
0.96,0.05,0.1,0.1,0.2,0.1,0.2,info0.96
0.98,0.05,0.1,0.1,0.2,0.1,0.2,info0.98
1.0,0.05,0.1,0.1,0.2,0.1,0.2,info1.0
1.02,0.05,0.11,0.1,0.21,0.1,0.2,info1.02
1.04,0.06,0.11,0.11,0.21,0.1,0.2,info1.04
1.06,0.06,0.12,0.11,0.22,0.1,0.2,info1.06
1.08,0.06,0.12,0.11,0.22,0.1,0.2,info1.08
1.1,0.06,0.13,0.11,0.22,0.1,0.2,info1.1
1.12,0.06,0.13,0.11,0.23,0.1,0.2,info1.12
1.14,0.07,0.13,0.12,0.23,0.1,0.2,info1.14
1.16,0.07,0.14,0.12,0.24,0.1,0.2,info1.16
1.18,0.07,0.14,0.12,0.24,0.1,0.2,info1.18
1.2,0.07,0.15,0.12,0.24,0.1,0.2,info1.2
1.22,0.08,0.15,0.12,0.25,0.1,0.2,info1.22
1.24,0.08,0.16,0.13,0.25,0.1,0.2,info1.24
1.26,0.08,0.16,0.13,0.26,0.1,0.2,info1.26
1.28,0.08,0.17,0.13,0.26,0.1,0.2,info1.28
1.3,0.09,0.17,0.13,0.26,0.1,0.2,info1.3
1.32,0.09,0.18,0.13,0.27,0.1,0.2,info1.32
1.34,0.09,0.18,0.14,0.27,0.1,0.2,info1.34
1.36,0.1,0.19,0.14,0.28,0.1,0.2,info1.36
1.38,0.1,0.2,0.14,0.28,0.1,0.2,info1.38
1.4,0.1,0.2,0.14,0.28,0.1,0.2,info1.4
1.42,0.1,0.21,0.14,0.29,0.1,0.2,info1.42
1.44,0.11,0.21,0.15,0.29,0.1,0.2,info1.44
1.46,0.11,0.22,0.15,0.3,0.1,0.2,info1.46
1.48,0.11,0.23,0.15,0.3,0.1,0.2,info1.48
1.5,0.12,0.23,0.15,0.3,0.1,0.2,info1.5
1.52,0.12,0.24,0.15,0.31,0.1,0.2,info1.52
1.54,0.12,0.24,0.16,0.31,0.1,0.2,info1.54
1.56,0.12,0.25,0.16,0.32,0.1,0.2,info1.56
1.58,0.13,0.26,0.16,0.32,0.1,0.2,info1.58
1.6,0.13,0.26,0.16,0.32,0.1,0.2,info1.6
1.62,0.13,0.27,0.16,0.33,0.1,0.2,info1.62
1.64,0.14,0.28,0.17,0.33,0.1,0.2,info1.64
1.66,0.14,0.28,0.17,0.34,0.1,0.2,info1.66
1.68,0.14,0.29,0.17,0.34,0.1,0.2,info1.68
1.7,0.15,0.3,0.17,0.34,0.1,0.2,info1.7
1.72,0.15,0.3,0.17,0.35,0.1,0.2,info1.72
1.74,0.15,0.31,0.18,0.35,0.1,0.2,info1.74
1.76,0.16,0.32,0.18,0.36,0.1,0.2,info1.76
1.78,0.16,0.32,0.18,0.36,0.1,0.2,info1.78
1.8,0.17,0.33,0.18,0.36,0.1,0.2,info1.8
1.82,0.17,0.34,0.18,0.37,0.1,0.2,info1.82
1.84,0.17,0.35,0.19,0.37,0.1,0.2,info1.84
1.86,0.18,0.35,0.19,0.38,0.1,0.2,info1.86
1.88,0.18,0.36,0.19,0.38,0.1,0.2,info1.88
1.9,0.18,0.37,0.19,0.38,0.1,0.2,info1.9
1.92,0.19,0.38,0.19,0.39,0.1,0.2,info1.92
1.94,0.19,0.38,0.2,0.39,0.1,0.2,info1.94
1.96,0.2,0.39,0.2,0.4,0.1,0.2,info1.96
1.98,0.2,0.4,0.2,0.4,0.1,0.2,info1.98
2.0,0.2,0.41,0.2,0.4,0.1,0.2,info2.0
2.02,0.21,0.42,0.2,0.41,0.1,0.2,info2.02
2.04,0.21,0.42,0.21,0.41,0.1,0.2,info2.04
2.06,0.22,0.43,0.21,0.42,0.1,0.2,info2.06
2.08,0.22,0.44,0.21,0.42,0.1,0.2,info2.08
2.1,0.22,0.45,0.21,0.42,0.1,0.2,info2.1
2.12,0.23,0.46,0.21,0.43,0.1,0.2,info2.12
2.14,0.23,0.47,0.22,0.43,0.1,0.2,info2.14
2.16,0.24,0.48,0.22,0.44,0.1,0.2,info2.16
2.18,0.24,0.48,0.22,0.44,0.1,0.2,info2.18
2.2,0.25,0.49,0.22,0.44,0.1,0.2,info2.2
2.22,0.25,0.5,0.22,0.45,0.1,0.2,info2.22
2.24,0.26,0.51,0.23,0.45,0.1,0.2,info2.24
2.26,0.26,0.52,0.23,0.46,0.1,0.2,info2.26
2.28,0.26,0.53,0.23,0.46,0.1,0.2,info2.28
2.3,0.27,0.54,0.23,0.46,0.1,0.2,info2.3
2.32,0.27,0.55,0.23,0.47,0.1,0.2,info2.32
2.34,0.28,0.56,0.24,0.47,0.1,0.2,info2.34
2.36,0.28,0.57,0.24,0.48,0.1,0.2,info2.36
2.38,0.29,0.58,0.24,0.48,0.1,0.2,info2.38
2.4,0.29,0.59,0.24,0.48,0.1,0.2,info2.4
2.42,0.3,0.6,0.24,0.49,0.1,0.2,info2.42
2.44,0.3,0.61,0.25,0.49,0.1,0.2,info2.44
2.46,0.31,0.62,0.25,0.5,0.1,0.2,info2.46
2.48,0.31,0.63,0.25,0.5,0.1,0.2,info2.48
2.51,0.32,0.64,0.25,0.5,0.1,0.2,info2.51
2.53,0.32,0.65,0.25,0.51,0.1,0.2,info2.53
2.55,0.33,0.66,0.26,0.51,0.1,0.2,info2.55
2.57,0.33,0.67,0.26,0.52,0.1,0.2,info2.57
2.59,0.34,0.68,0.26,0.52,0.1,0.2,info2.59
2.61,0.34,0.69,0.26,0.52,0.1,0.2,info2.61
2.63,0.35,0.7,0.26,0.53,0.1,0.2,info2.63
2.65,0.35,0.71,0.27,0.53,0.1,0.2,info2.65
2.67,0.36,0.72,0.27,0.54,0.1,0.2,info2.67
2.69,0.36,0.73,0.27,0.54,0.1,0.2,info2.69
2.71,0.37,0.74,0.27,0.54,0.1,0.2,info2.71
2.73,0.38,0.75,0.27,0.55,0.1,0.2,info2.73
2.75,0.38,0.76,0.28,0.55,0.1,0.2,info2.75
2.77,0.39,0.77,0.28,0.56,0.1,0.2,info2.77
2.79,0.39,0.78,0.28,0.56,0.1,0.2,info2.79
2.81,0.4,0.8,0.28,0.56,0.1,0.2,info2.81
2.83,0.4,0.81,0.28,0.57,0.1,0.2,info2.83
2.85,0.41,0.82,0.29,0.57,0.1,0.2,info2.85
2.87,0.41,0.83,0.29,0.58,0.1,0.2,info2.87
2.89,0.42,0.84,0.29,0.58,0.1,0.2,info2.89
2.91,0.43,0.85,0.29,0.58,0.1,0.2,info2.91
2.93,0.43,0.86,0.29,0.59,0.1,0.2,info2.93
2.95,0.44,0.88,0.3,0.59,0.1,0.2,info2.95
2.97,0.44,0.89,0.3,0.6,0.1,0.2,info2.97
2.99,0.45,0.9,0.3,0.6,0.1,0.2,info2.99
3.01,0.46,0.91,0.3,0.6,0.1,0.2,info3.01
3.03,0.46,0.92,0.3,0.61,0.1,0.2,info3.03
3.05,0.47,0.94,0.31,0.61,0.1,0.2,info3.05
3.07,0.47,0.95,0.31,0.62,0.1,0.2,info3.07
3.09,0.48,0.96,0.31,0.62,0.1,0.2,info3.09
3.11,0.49,0.97,0.31,0.62,0.1,0.2,info3.11
3.13,0.49,0.99,0.31,0.63,0.1,0.2,info3.13
3.15,0.5,1.0,0.32,0.63,0.1,0.2,info3.15
3.17,0.51,1.01,0.32,0.64,0.1,0.2,info3.17
3.19,0.51,1.02,0.32,0.64,0.1,0.2,info3.19
3.21,0.52,1.04,0.32,0.64,0.1,0.2,info3.21
3.23,0.52,1.05,0.32,0.65,0.1,0.2,info3.23
3.25,0.53,1.06,0.33,0.65,0.1,0.2,info3.25
3.27,0.54,1.08,0.33,0.66,0.1,0.2,info3.27
3.29,0.54,1.09,0.33,0.66,0.1,0.2,info3.29
3.31,0.55,1.1,0.33,0.66,0.1,0.2,info3.31
3.33,0.56,1.12,0.33,0.67,0.1,0.2,info3.33
3.35,0.56,1.13,0.34,0.67,0.1,0.2,info3.35
3.37,0.57,1.14,0.34,0.68,0.1,0.2,info3.37
3.39,0.58,1.16,0.34,0.68,0.1,0.2,info3.39
3.41,0.58,1.17,0.34,0.68,0.1,0.2,info3.41
3.43,0.59,1.18,0.34,0.69,0.1,0.2,info3.43
3.45,0.6,1.2,0.35,0.69,0.1,0.2,info3.45
3.47,0.61,1.21,0.35,0.7,0.1,0.2,info3.47
3.49,0.61,1.23,0.35,0.7,0.1,0.2,info3.49
3.51,0.62,1.24,0.35,0.7,0.1,0.2,info3.51
3.53,0.63,1.25,0.35,0.71,0.1,0.2,info3.53
3.55,0.63,1.27,0.36,0.71,0.1,0.2,info3.55
3.57,0.64,1.28,0.36,0.72,0.1,0.2,info3.57
3.59,0.65,1.3,0.36,0.72,0.1,0.2,info3.59
3.61,0.66,1.31,0.36,0.72,0.1,0.2,info3.61
3.63,0.66,1.32,0.36,0.73,0.1,0.2,info3.63
3.65,0.67,1.34,0.37,0.73,0.1,0.2,info3.65
3.67,0.68,1.35,0.37,0.74,0.1,0.2,info3.67
3.69,0.68,1.37,0.37,0.74,0.1,0.2,info3.69
3.71,0.69,1.38,0.37,0.74,0.1,0.2,info3.71
3.73,0.7,1.4,0.37,0.75,0.1,0.2,info3.73
3.75,0.71,1.41,0.38,0.75,0.1,0.2,info3.75
3.77,0.71,1.43,0.38,0.76,0.1,0.2,info3.77
3.79,0.72,1.44,0.38,0.76,0.1,0.2,info3.79
3.81,0.73,1.46,0.38,0.76,0.1,0.2,info3.81
3.83,0.74,1.47,0.38,0.77,0.1,0.2,info3.83
3.85,0.74,1.49,0.39,0.77,0.1,0.2,info3.85
3.87,0.75,1.51,0.39,0.78,0.1,0.2,info3.87
3.89,0.76,1.52,0.39,0.78,0.1,0.2,info3.89
3.91,0.77,1.54,0.39,0.78,0.1,0.2,info3.91
3.93,0.78,1.55,0.39,0.79,0.1,0.2,info3.93
3.95,0.78,1.57,0.4,0.79,0.1,0.2,info3.95
3.97,0.79,1.58,0.4,0.8,0.1,0.2,info3.97
3.99,0.8,1.6,0.4,0.8,0.1,0.2,info3.99
4.01,0.81,1.62,0.4,0.8,0.1,0.2,info4.01
4.03,0.82,1.63,0.4,0.81,0.1,0.2,info4.03
4.05,0.82,1.65,0.41,0.81,0.1,0.2,info4.05
4.07,0.83,1.66,0.41,0.82,0.1,0.2,info4.07
4.09,0.84,1.68,0.41,0.82,0.1,0.2,info4.09
4.11,0.85,1.7,0.41,0.82,0.1,0.2,info4.11
4.13,0.86,1.71,0.41,0.83,0.1,0.2,info4.13
4.15,0.87,1.73,0.42,0.83,0.1,0.2,info4.15
4.17,0.87,1.75,0.42,0.84,0.1,0.2,info4.17
4.19,0.88,1.76,0.42,0.84,0.1,0.2,info4.19
4.21,0.89,1.78,0.42,0.84,0.1,0.2,info4.21
4.23,0.9,1.8,0.42,0.85,0.1,0.2,info4.23
